,city,detailed_location,tipology,price,area,area_per_square_meter,bathrooms,apartament_state
0,Faro,"Faro (Sé e São Pedro), Faro",T3,329 000 €,"170,90 m²",1 925 €/m²,Casas de Banho: 3,Novo
1,Setúbal,"Seixal, Arrentela e Aldeia de Paio Pires, Seixal, Setúbal",T3,638 000 €,"211,85 m²",3 012 €/m²,Novo,
2,Porto,"Santa Marinha e São Pedro da Afurada, Vila Nova de Gaia, Porto",T2,362 775 €,116 m²,3 127 €/m²,Casas de Banho: 3,Em construção
3,Setúbal,"Seixal, Arrentela e Aldeia de Paio Pires, Seixal, Setúbal",T4,510 000 €,"204,25 m²",2 497 €/m²,Novo,
4,Porto,"Paranhos, Porto",Vídeo,T1,197 000 €,71 m²,2 775 €/m²,Casas de Banho: 1
5,Setúbal,"Alcochete, Setúbal",T2,500 000 €,"84,80 m²",5 896 €/m²,Casas de Banho: 2,Novo
6,Porto,"Paranhos, Porto",Vídeo,T2,284 000 €,105 m²,2 705 €/m²,Casas de Banho: 3
7,Porto,"Paranhos, Porto",Vídeo,T3,429 000 €,154 m²,2 786 €/m²,Casas de Banho: 4 ou mais
8,Faro,"Portimão, Faro",T5,2 860 000 €,500 m²,5 720 €/m²,Casas de Banho: 4 ou mais,Em construção
9,Lisboa,"Avenidas Novas, Lisboa",T2,450 000 €,102 m²,4 412 €/m²,Casas de Banho: 1,
10,Lisboa,"São Domingos de Rana, Cascais, Lisboa",T3,210 000 €,87 m²,2 414 €/m²,Casas de Banho: 2,
11,Lisboa,"Campo de Ourique, Lisboa",T3,268 000 €,61 m²,4 393 €/m²,Casas de Banho: 1,Renovado
12,Lisboa,"Ajuda, Lisboa",T1,275 000 €,90 m²,3 056 €/m²,Casas de Banho: 1,Renovado
13,Faro,"Portimão, Faro",T3,179 000 €,128 m²,1 398 €/m²,Casas de Banho: 2,Usado
14,Lisboa,"Campolide, Lisboa",T2,770 000 €,"97,93 m²",7 863 €/m²,Casas de Banho: 2,Em construção
15,Lisboa,"Campolide, Lisboa",T3,1 315 000 €,"132,37 m²",9 934 €/m²,Casas de Banho: 3,Em construção
16,Lisboa,"Campolide, Lisboa",T1,510 000 €,"67,10 m²",7 601 €/m²,Casas de Banho: 1,Em construção
17,Faro,"Albufeira e Olhos de Água, Albufeira, Faro",T3,440 000 €,"129,40 m²",3 400 €/m²,Casas de Banho: 3,Novo
18,Faro,"Albufeira e Olhos de Água, Albufeira, Faro",T2,335 000 €,"123,50 m²",2 713 €/m²,Casas de Banho: 2,Novo
19,Porto,"Santa Marinha e São Pedro da Afurada, Vila Nova de Gaia, Porto",T4,866 842 €,188 m²,4 611 €/m²,Casas de Banho: 4 ou mais,Em construção
